SYMBOL	FC
Calb2	2.36564585
Ccdc7b	2.36564585
Phxr4	2.36564585
Celf6	2.36564585
Gm14517	2.36564585
Rhox2d	2.36564585
Gpr119	2.36564585
Pla2g10	2.365458787
Tex29	2.365120075
Gm2244	2.36464719
Foxg1	2.364584687
Itih5l-ps	2.364544873
Morn5	2.363736238
1700067G17Rik	2.363616525
Psma8	2.363369016
Adipoq	2.356051828
Myof	2.33574873
Fgfbp1	2.325618197
Spem2	2.319477722
Wfdc17	2.317414636
Vipr1	2.317175836
Krt19	2.313155847
Tnfsf8	2.307680189
9330154K18Rik	2.305599211
Ccdc121	2.286445299
Cutal	2.285566207
Cfap57	2.28494846
Lmntd1	2.283719527
Wscd1	2.283434626
Nek11	2.276653785
Slc51b	2.275120679
Nol4	2.27238282
Capn8	2.266558874
Gm17771	2.26651752
Ccdc162	2.26151641
Hmgb1-rs17	2.258192822
Folr2	2.257373188
NA	2.256130428
Car4	2.255807161
Lrriq1	2.25390383
Gm5477	2.252941686
NA	2.252881272
Cplx3	2.251093504
E030046B03Rik	2.249192569
Fxyd7	2.247685426
Mup7	2.24572484
Krt34	2.244063272
Gm6330	2.24392919
Olfr1396	2.243049936
2610203C22Rik	2.239874724
Tuba3a	2.238347133
C330024D21Rik	2.235774087
Vegfd	2.235707668
A930003A15Rik	2.219662715
Chst12	2.20973418
C030029H02Rik	2.206163632
Zim1	2.195843669
Emp3	2.178082051
Gpsm2	2.177340747
Angptl1	2.177310662
Gpr75	2.172538448
Pir	2.1698429
Lrrc3b	2.169413698
Aldh1l1	2.168156256
Tm6sf1	2.165559938
Mme	2.163851843
Atp2b4	2.157108297
Tsx	2.150189987
Adgrg2	2.147859151
1700036A12Rik	2.14617705
Frmpd4	2.142642105
Slit1	2.11852774
Rcvrn	2.102602827
Lgals7	2.100161595
Lao1	2.096487734
Gm12680	2.095193784
Gpr151	2.091747677
P2ry4	2.083009006
Cyp2s1	2.076155274
Actc1	2.07553503
Rnf152	2.067274503
Mpig6b	2.058468517
Msmo1	2.051258456
Cxcl14	2.047513424
Slc16a14	2.04067966
Krt78	2.037235336
Cfap45	2.032496849
Armh2	2.016682082
Stmnd1	2.013390137
Gm4631	2.007765148
Nfatc2	2.006909686
Trim43b	2.006020761
Ccdc110	2.003594842
Serpina3a	2.00312555
Cd109	2.002787868
Tgm3	1.994289829
Barx2	1.992365653
Ssu2	1.989473689
Gm20044	1.989246472
Prkg2	1.988086034
Gm38425	1.986252447
Egfl6	1.979776473
S100b	1.972365261
1700065D16Rik	1.971102636
Krt15	1.96927875
Platr8	1.968399483
Adamtsl4	1.968332394
Igsf1	1.967911599
Oxtr	1.967743976
3830417A13Rik	1.960713009
NA	1.958899906
Rdh1	1.95819589
NA	1.956251406
Fitm1	1.953600754
Gm15910	1.951585875
Atp8b5	1.951396655
Mgam	1.950572798
Lyzl4os	1.949815185
NA	1.949626901
Gm13288	1.94629758
Nat2	1.941672347
Podn	1.938135355
Hoxa6	1.936625878
Klhl38	1.934916697
NA	1.930694382
Klf2	1.926331625
Zc2hc1b	1.922864042
Rslcan18	1.922579648
Gsdmc	1.920644603
S100a6	1.915749872
Mir31	1.915034368
4930413F20Rik	1.910064639
Gm17758	1.908749782
H2bc18	1.908584957
E030044B06Rik	1.907890126
Nsun7	1.906322458
Adcyap1r1	1.90389
Krt4	1.903872704
Gm19620	1.903101914
Mirlet7f-1	1.901817797
Cidea	1.901375219
Krt79	1.900736326
NA	1.898204747
Panct2	1.895543375
Kirrel2	1.894602194
