EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
620419	0	0.72830981050692	0.0798834504283149	0.45315896366262	0.0163387946918946	20	23	25	36	25	20	45	38	0.830	1.015	1.161	1.799	1.124	0.910	1.820	1.541
19012	0	-0.351428556995514	0.0799141206482123	4.89106838185493	0.0163480080504824	1549	1792	1160	1092	34	36	190	197	64.272	79.063	53.880	54.558	1.529	1.637	7.685	7.990
74519	0	0.734673065115254	0.0799297360203511	1.99549613137482	0.0163541433463031	134	180	193	257	0	1	1	4	5.560	7.942	8.965	12.840	0.000	0.045	0.040	0.162
67808	0	0.53391957514048	0.0800472131375729	6.72637989799088	0.0163836925370883	3892	3950	5057	4675	1279	1346	617	519	161.489	174.275	234.889	233.570	57.505	61.215	24.956	21.049
100303732	0	1.1536321384959	0.0800472131375729	-1.2610823113863	0.0163840703000227	8	5	11	14	12	5	2	5	0.332	0.221	0.511	0.699	0.540	0.227	0.081	0.203
80797	0	-0.911811767142193	0.0800660173112819	7.58875154527586	0.0163908650178436	12529	13469	6437	5435	347	701	902	938	519.859	594.255	298.987	271.541	15.601	31.881	36.483	38.041
16580	0	-0.909271427349083	0.0801669867980823	1.0012403800934	0.0164144847688042	52	26	17	18	42	23	88	72	2.158	1.147	0.790	0.899	1.888	1.046	3.559	2.920
18476	0	-0.376010393053392	0.0802066556711503	3.94849425551191	0.0164285092211374	318	303	211	198	652	563	273	265	13.195	13.368	9.801	9.892	29.314	25.605	11.042	10.747
101835	0	0.648211641377512	0.0802066556711503	1.37034588003987	0.0164264209194631	65	67	80	97	38	37	33	48	2.697	2.956	3.716	4.846	1.709	1.683	1.335	1.947
74456	0	0.640386473194143	0.0803371047969283	-0.14227733702928	0.0164581846097832	23	28	27	41	10	6	8	11	0.954	1.235	1.254	2.048	0.450	0.273	0.324	0.446
235293	0	0.43041674584491	0.0803436769313955	5.88349976473348	0.0164624870977939	1692	1293	2100	1328	1171	1185	1026	1023	70.205	57.047	97.541	66.349	52.649	53.892	41.498	41.489
12411	0	0.740662714255702	0.0804062564476548	2.12796676732423	0.0164782680898281	98	153	180	183	36	25	76	51	4.066	6.750	8.361	9.143	1.619	1.137	3.074	2.068
76901	0	0.455846352633994	0.0804801991872377	3.16316778462037	0.0164963828570625	383	411	471	463	23	13	15	16	15.892	18.133	21.877	23.132	1.034	0.591	0.607	0.649
11792	0	-0.469128862940291	0.0804889692547127	3.43740387059633	0.0165011419363206	310	237	171	165	340	243	248	222	12.863	10.456	7.943	8.244	15.287	11.051	10.031	9.003
320474	0	1.1045759103002	0.0805075293130462	-1.14260033678138	0.0165108712016969	7	7	12	14	1	8	10	9	0.290	0.309	0.557	0.699	0.045	0.364	0.404	0.365
107371	0	0.610947265469853	0.0805075293130462	2.63676080085048	0.0165089739966271	75	52	81	84	256	198	148	176	3.112	2.294	3.762	4.197	11.510	9.005	5.986	7.138
16172	0	-0.292221876860164	0.0805251491048341	4.82844988716158	0.0165174475241712	1385	1195	922	875	371	387	252	246	57.467	52.724	42.825	43.716	16.680	17.600	10.193	9.977
68556	0	0.397962414699929	0.0805838142749856	4.31266087854561	0.0165324459471401	716	780	912	781	176	229	146	160	29.709	34.414	42.361	39.020	7.913	10.415	5.905	6.489
237256	0	0.73809051194891	0.0806500344275725	0.937811561427236	0.0165489989330944	26	34	49	37	11	20	69	77	1.079	1.500	2.276	1.849	0.495	0.910	2.791	3.123
14923	0	-0.307251501815684	0.0806618975416769	4.50186397797557	0.0165544009892738	691	579	458	417	652	633	364	378	28.671	25.546	21.273	20.834	29.314	28.788	14.723	15.330
235345	0	1.70697847533874	0.0806649424938983	-1.6897716438031	0.0165579938251392	2	8	20	9	0	0	2	1	0.083	0.353	0.929	0.450	0.000	0.000	0.081	0.041
21983	0	-0.707161312467333	0.0806884524244603	6.84384926402268	0.0165657884590488	7723	7848	4913	3280	533	514	74	41	320.446	346.255	228.200	163.874	23.964	23.376	2.993	1.663
108011	0	0.358886115182339	0.0807079208979762	4.19468537627855	0.0165727549406382	502	575	588	598	375	331	235	240	20.829	25.369	27.312	29.877	16.860	15.054	9.505	9.733
53975	0	-0.429784589929986	0.0808077495091623	3.95614030647521	0.0165975680602724	208	161	108	125	651	604	386	401	8.630	7.103	5.016	6.245	29.269	27.469	15.612	16.263
