EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM
104662	0	-1.44666229676096	8.14698773164423e-19	5.74881503564803	4.76607325262678e-21	2116	1623	662	516	87.798	71.607	30.749	25.780
70717	0	-1.82469091960379	1.01749437991057e-18	6.41819091457987	5.98988560232868e-21	3145	3157	965	577	130.494	139.287	44.823	28.828
12534	0	-2.288144526248	1.27348518565704e-18	2.90429599699404	7.54373284119293e-21	328	248	54	47	13.610	10.942	2.508	2.348
78748	0	-2.07695688406179	1.5552463184495e-18	3.75921820477192	9.27002110411783e-21	538	485	80	128	22.323	21.398	3.716	6.395
232431	0	-1.54419810389134	1.59193069733034e-18	4.03457847260657	9.54724984969442e-21	608	538	170	168	25.227	23.737	7.896	8.394
208628	0	-2.36711100336859	1.69244440650069e-18	2.74193509048568	1.0212328734174e-20	284	233	49	37	11.784	10.280	2.276	1.849
17216	0	-2.15148548355407	1.69615702535585e-18	3.47793715559024	1.02971378337582e-20	516	337	89	75	21.410	14.868	4.134	3.747
327900	0	-1.28201903570158	1.87090720031293e-18	5.22206424179853	1.14268587973048e-20	1378	1128	447	438	57.177	49.768	20.762	21.883
24088	0	-1.66307685281632	1.91264932870515e-18	7.29649557842452	1.17521777068237e-20	6376	5002	1779	1310	264.556	220.689	82.631	65.450
75590	0	-1.59813178201893	1.92245094972513e-18	4.04752435380106	1.18831362284787e-20	628	540	184	148	26.057	23.825	8.546	7.394
108673	0	-1.4172559001098	1.96072910375564e-18	4.68474333872288	1.21918841213696e-20	990	780	303	266	41.078	34.414	14.074	13.290
16763	0	-2.10357567139553	2.00186645089852e-18	3.10849952261756	1.25213325233728e-20	329	319	74	56	13.651	14.074	3.437	2.798
50918	0	1.74633490101483	2.24357159435247e-18	8.19780673175945	1.41157048689898e-20	2839	3515	10009	8522	117.797	155.082	464.901	425.772
223473	0	1.51410814531641	2.67302961486462e-18	6.19910488248842	1.69160415672657e-20	803	994	2375	2083	33.318	43.855	110.315	104.070
118449	0	1.78531638515409	2.93405413225315e-18	9.08971690641857	1.86758661054415e-20	4899	6620	18059	16515	203.272	292.076	838.809	825.115
74754	0	1.49553057743384	3.13941350122742e-18	5.37672860127089	2.00985300862273e-20	630	412	1281	1231	26.140	18.178	59.500	61.503
50908	0	-1.56484951872018	3.48351943378943e-18	6.07043353879958	2.24296663200688e-20	2075	2640	690	694	86.097	116.477	32.049	34.673
21973	0	-1.51790321706991	4.61113574671645e-18	5.3446607642574	2.9859814247106e-20	1475	1370	508	350	61.201	60.445	23.596	17.487
211945	0	-2.36357619945236	4.90316896404895e-18	3.09832242657823	3.19313038241533e-20	399	269	66	45	16.555	11.868	3.066	2.248
70784	0	1.67304556733281	5.33968371498686e-18	6.30808453360152	3.49705177257316e-20	744	1035	2481	2456	30.870	45.664	115.238	122.706
11941	0	3.82072101194033	8.7579181416528e-18	0.720825670336727	5.76793608063524e-20	5	5	77	48	0.207	0.221	3.577	2.398
108897	0	-1.73799407998568	9.05124059501591e-18	3.65558484147838	5.99441961478665e-20	483	424	128	106	20.041	18.707	5.945	5.296
12978	0	-4.10877101783961	1.02413063057891e-17	0.624155500287396	6.8202525528821e-20	75	50	6	0	3.112	2.206	0.279	0.000
17279	0	-3.3162359172111	1.31766197454733e-17	1.5968253539401	8.8235210775825e-20	142	104	15	6	5.892	4.588	0.697	0.300
77552	0	1.43334173339473	1.36132081138635e-17	4.84759076613389	9.16596300392588e-20	344	392	832	887	14.273	17.295	38.645	44.316
14748	0	-1.17404413193571	1.54497646229126e-17	6.51648649490303	1.04593866242905e-19	3182	2835	1193	1103	132.029	125.081	55.413	55.108
20419	0	-3.38962759951213	1.75451171622664e-17	1.29209403594077	1.19424801317903e-19	116	82	11	5	4.813	3.618	0.511	0.250
353211	0	1.35418299900357	1.75568742282466e-17	4.53639487683643	1.20150800487651e-19	335	286	666	699	13.900	12.618	30.935	34.923
66953	0	-1.75414909990957	2.10161825411762e-17	3.65790174816207	1.44597893049779e-19	513	400	113	119	21.286	17.648	5.249	5.945
11472	0	3.21514453461351	2.38081602095593e-17	0.6472526238868	1.64683546833848e-19	5	9	59	55	0.207	0.397	2.740	2.748
65112	0	-2.25174607626396	2.83853747929356e-17	8.08709261276821	1.97389007537615e-19	10213	11019	2545	1332	423.762	486.160	118.211	66.549
18260	0	-3.52391696745873	2.96913209024389e-17	1.02429252374163	2.07562859982464e-19	99	65	6	6	4.108	2.868	0.279	0.300
74427	0	-1.21594935327036	3.1749566641521e-17	6.36950049959436	2.23119586023419e-19	3000	2491	1101	932	124.477	109.903	51.140	46.564
209737	0	-2.68643287241488	5.21252728353223e-17	1.9423312032052	3.68227395576801e-19	163	138	19	21	6.763	6.089	0.883	1.049
338370	0	-3.79949871857655	6.35667872974706e-17	0.552019153549958	4.51392249472454e-19	69	48	4	3	2.863	2.118	0.186	0.150
226255	0	1.13663491016944	6.56472726295852e-17	6.31011832292903	4.70488551861869e-19	1204	1150	2243	2219	49.957	50.738	104.183	110.865
72462	0	-1.47871070081315	6.56472726295852e-17	4.8903395671676	4.7099665781556e-19	1205	866	356	281	49.998	38.208	16.536	14.039
22044	0	-4.23760150363605	7.52877155105549e-17	1.10810022796735	5.45703666638924e-19	71	107	6	2	2.946	4.721	0.279	0.100
110935	0	-5.82406329400618	7.52877155105549e-17	0.00386251373257836	5.45194474349995e-19	50	31	0	1	2.075	1.368	0.000	0.050
234258	0	-3.14474081471736	8.44927762240793e-17	1.44650250245239	6.15532936913341e-19	121	97	15	6	5.021	4.280	0.697	0.300
107272	0	-1.35156247849729	1.00568762632667e-16	6.7470449215306	7.36347318293562e-19	4322	3044	1217	1251	179.330	134.302	56.528	62.502
217946	0	-1.41714767919322	1.09381555251911e-16	4.22858669873776	8.04897569828995e-19	668	614	194	219	27.717	27.090	9.011	10.942
16551	0	-2.26190608607241	1.31020856491667e-16	2.60522415264899	9.68953683168075e-19	245	218	48	35	10.166	9.618	2.230	1.749
208715	0	1.45365634860731	1.3276869582916e-16	7.63585127233235	9.86764654972233e-19	2855	2220	6380	5554	118.461	97.947	296.340	277.487
