SYMBOL,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Slc43a2,0,-1.04397130593961,1.62980909966832e-8,5.580209960658,1.13755026383267e-9,639,851,535,607,562,701,2678,2913,420,423,777,917,31.336,39.202,22.198,26.781,26.104,35.023,120.405,132.480,18.082,19.423,31.427,37.190
Lrp12,0,1.31136996679207,1.6511246177956e-8,4.05922718705805,1.15303525684391e-9,235,210,756,625,503,555,101,59,773,711,106,140,11.524,9.674,31.368,27.575,23.363,27.729,4.541,2.683,33.279,32.648,4.287,5.678
Gm2036,0,1.68274567450481,1.68186794277502e-8,2.37096202248966,1.17636077825355e-9,121,98,130,140,136,112,57,51,162,154,87,129,5.934,4.514,5.394,6.177,6.317,5.596,2.563,2.319,6.974,7.071,3.519,5.232
Gm10340,0,4.23579725852947,1.68234395324977e-8,-0.930310262935951,1.17731270432358e-9,6,1,20,16,12,14,0,2,10,13,13,13,0.294,0.046,0.830,0.706,0.557,0.699,0.000,0.091,0.431,0.597,0.526,0.527
Vps13c,0,1.00074571509775,1.72770440341501e-8,5.66217374138428,1.21096320265852e-9,955,887,1125,1384,1940,1767,641,700,1174,1221,805,871,46.832,40.860,46.679,61.062,90.110,88.282,28.820,31.835,50.543,56.066,32.560,35.324
2610021A01Rik,0,1.7093040142293,1.73412361869702e-8,2.97245277919981,1.21610052512474e-9,163,169,173,130,106,164,145,89,238,164,198,275,7.993,7.785,7.178,5.736,4.924,8.194,6.519,4.048,10.246,7.531,8.008,11.153
Anln,0,1.2807607561777,1.81611841597418e-8,4.05739964208128,1.27493798067579e-9,671,776,544,452,123,111,224,169,443,545,360,232,32.905,35.747,22.572,19.942,5.713,5.546,10.071,7.686,19.072,25.025,14.561,9.409
Igkv14-111,0,2.20070580063329,1.88099500486778e-8,-0.651347961658796,1.32117423904212e-9,19,58,1,1,0,0,4,14,1,0,17,35,0.932,2.672,0.041,0.044,0.000,0.000,0.180,0.637,0.043,0.000,0.688,1.419
Wnt4,0,-1.21467429928089,1.89138850141566e-8,5.41913058355548,1.32917032918941e-9,3375,2915,607,491,1032,762,1417,897,157,136,351,264,165.505,134.281,25.186,21.663,47.935,38.071,63.709,40.795,6.759,6.245,14.197,10.707
Blnk,0,-2.60256110306198,1.9387878633467e-8,0.446346133469353,1.36462017829289e-9,29,61,6,7,3,2,132,76,3,9,7,14,1.422,2.810,0.249,0.309,0.139,0.100,5.935,3.456,0.129,0.413,0.283,0.568
Nfkb2,0,-1.53101930581153,1.95708043401023e-8,8.08533829001802,1.37998018593384e-9,9119,9379,10695,7709,5249,4478,7897,5947,8787,7364,1681,1285,447.183,432.050,443.762,340.122,243.807,223.728,355.055,270.463,378.299,338.141,67.991,52.114
Sh3d19,0,1.46459260751336,2.00959695088368e-8,7.01141419611441,1.41815627940502e-9,1969,2877,3597,4030,5384,4707,950,1013,3989,3581,1630,1753,96.557,132.531,149.248,177.804,250.077,235.169,42.713,46.070,171.735,164.433,65.928,71.095
C1qtnf12,0,-1.06486038082638,2.0355738194476e-8,4.60903307430081,1.43723689595642e-9,502,533,604,593,580,646,285,247,1739,1378,80,78,24.617,24.553,25.061,26.163,26.940,32.275,12.814,11.233,74.868,63.275,3.236,3.163
