SYMBOL,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Lipt1,26,26,39,23,49,29,48,43,55,71,21,21
Mitd1,171,208,236,197,312,240,139,153,112,85,116,115
Mrpl30,480,431,494,534,454,384,535,584,403,365,221,228
Lyg2,0,0,0,0,0,0,0,0,0,0,0,0
Lyg1,0,0,0,0,0,0,0,1,3,10,2,1
Txndc9,870,755,836,760,804,759,1207,1475,1311,1298,440,400
Eif5b,4112,3876,4855,4156,3336,2740,4480,4686,5629,6043,2501,2550
Rev1,518,530,693,574,420,404,527,523,607,541,354,351
Aff3,363,327,325,278,231,226,5,5,0,1,0,0
Lonrf2,0,5,0,1,0,1,1,0,1,1,0,0
Chst10,24,9,48,29,32,55,13,19,24,14,1,1
NA,0,0,0,0,0,0,1,0,0,0,0,0
Nms,0,0,0,0,0,0,0,0,0,0,0,0
Pdcl3,1282,1119,1698,1844,2032,1833,981,1202,720,629,230,316
Npas2,24,25,14,29,12,12,179,310,256,315,462,380
Rpl31,1655,1862,1804,1569,987,889,2350,2596,1863,1601,669,673
Tbc1d8,482,470,306,248,246,288,942,1310,2334,2274,4091,4547
Cnot11,948,806,602,530,405,474,489,509,419,311,158,168
Snord89,21,17,14,13,3,4,10,3,4,8,0,0
Rnf149,2943,3143,2005,1673,815,742,1698,1855,2553,2371,1947,1942
Creg2,26,16,19,20,0,1,0,1,6,4,0,0
Rfx8,1,2,1,2,2,0,0,2,1,2,1,0
Gm3646,0,2,0,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,1,0,0,0
Map4k4,6042,5787,6242,5804,6128,5980,4341,4710,4492,4869,985,923
Gm16894,1,0,9,7,7,9,0,0,0,1,0,0
Il1r2,12,12,42,90,110,89,5,4,0,1,8,3
Il1r1,394,462,369,409,266,255,640,700,133,193,120,112
Il1rl2,108,211,62,67,37,34,85,104,48,62,162,163
Il1rl1,13,23,93,25,9,5,4,2,7,2,2,1
Il18r1,92,51,40,28,4,5,639,534,348,761,453,629
Il18rap,6,2,7,1,2,2,26,51,36,54,104,132
Slc9a4,0,3,15,16,24,21,16,13,337,750,3110,3596
Slc9a2,19,10,8,3,6,6,34,48,51,79,409,425
Mfsd9,35,21,18,16,6,13,86,47,66,80,73,85
Tmem182,3,7,25,26,24,31,2,1,1,3,2,3
4930448I06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Pantr1,0,0,0,0,0,0,0,0,0,0,0,0
Pou3f3,0,1,0,0,0,0,0,1,1,0,0,0
2900092D14Rik,0,0,1,0,0,0,0,0,0,0,0,0
Mrps9,507,408,437,436,370,305,620,664,404,351,174,149
Gpr45,0,0,1,1,1,0,1,0,0,0,0,0
Tgfbrap1,679,526,581,473,629,678,680,692,760,669,499,545
AI597479,402,280,357,362,433,554,278,271,206,187,149,150
Fhl2,908,1068,1803,1700,1208,1134,341,467,174,208,14,21
Gm8210,750,862,815,726,491,423,1041,1091,836,828,345,376
Nck2,1592,1614,2049,1946,1754,1763,3498,4109,558,658,365,352
NA,2,2,1,6,2,2,3,11,12,19,1,3
Ecrg4,3414,4153,11991,9261,1445,1155,42,35,23,12,0,2
Uxs1,181,148,120,85,64,77,449,332,127,129,180,186
NA,481,504,522,510,428,412,736,756,760,677,465,466
Tpp2,2444,3036,3416,2632,1989,1522,2438,2773,3076,3017,1482,1331
Mettl21c,0,0,1,0,2,0,1,0,1,2,3,0
Tex30,659,527,489,333,268,232,505,429,450,306,477,393
Poglut2,1412,1178,1284,1188,875,828,525,463,354,290,214,177
